MMSI,BaseDateTime,LAT,LON
368481000,2022-03-31T00:00:01,29.74488,-93.86959
368113360,2022-03-31T00:00:01,41.64674,-87.472
367799330,2022-03-31T00:00:01,29.84392,-90.05997
367438630,2022-03-31T00:00:05,38.96638,-90.54393
356222000,2022-03-31T00:00:04,46.08555,-124.43259
368119110,2022-03-31T00:00:07,29.95239,-90.06255
367072930,2022-03-31T00:00:10,29.73869,-93.86764
367381000,2022-03-31T00:00:24,29.72829,-95.02054
366773070,2022-03-31T00:00:00,47.51069,-122.46317
311923000,2022-03-31T00:00:00,29.57897,-93.78042
338164476,2022-03-31T00:00:00,30.0274,-90.11705
367410780,2022-03-31T00:00:02,37.07513,-88.22547
368006590,2022-03-31T00:00:03,34.72193,-92.18143
367336190,2022-03-31T00:00:04,32.0821,-81.06328
316009219,2022-03-31T00:00:05,49.29062,-122.97485
375191000,2022-03-31T00:00:06,26.22016,-80.09257
366748260,2022-03-31T00:00:07,29.79245,-81.27461
368233070,2022-03-31T00:00:07,28.5552,-80.79553
368006730,2022-03-31T00:00:02,47.99801,-122.22045
368136160,2022-03-31T00:00:08,32.08508,-81.08883
367050280,2022-03-31T00:00:16,48.10666,-122.77941
368414100,2022-03-31T00:00:22,46.30394,-124.04079
338092145,2022-03-31T00:00:29,48.97812,-123.06709
215137000,2022-03-31T00:00:00,32.73058,-79.82569
366986310,2022-03-31T00:00:02,38.57137,-90.23186
338511000,2022-03-31T00:00:05,26.71605,-80.0483
338251533,2022-03-31T00:00:06,28.04956,-82.78706
367472000,2022-03-31T00:00:09,48.20219,-122.92817
368179240,2022-03-31T00:00:12,25.77813,-80.14904
368182970,2022-03-31T00:00:17,18.4682,-65.69141
367710660,2022-03-31T00:00:18,26.115,-80.10814
338360367,2022-03-31T00:00:27,26.2459,-80.09459
338246081,2022-03-31T00:00:00,47.33404,-122.58343
367352250,2022-03-31T00:00:03,30.45286,-91.19231
564187000,2022-03-31T00:00:05,29.90887,-90.11687
367588290,2022-03-31T00:00:05,29.92797,-90.05862
367396520,2022-03-31T00:00:06,30.53128,-88.10822
366995820,2022-03-31T00:00:07,37.92489,-87.90522
367102610,2022-03-31T00:00:09,32.53933,-87.85051
338387976,2022-03-31T00:00:11,47.6768,-122.41049
338245332,2022-03-31T00:00:15,29.28344,-94.85556
319143700,2022-03-31T00:00:01,26.1017,-80.11816
367582150,2022-03-31T00:00:04,38.55943,-90.2412
367561320,2022-03-31T00:00:04,27.83306,-97.15716
338410785,2022-03-31T00:00:23,47.72619,-122.64398
338408343,2022-03-31T00:00:23,27.51131,-82.55766
367581220,2022-03-31T00:00:00,33.7521,-118.22168
366084960,2022-03-31T00:00:00,30.74475,-81.52499
366084960,2022-03-31T00:00:00,30.74475,-81.52499
368926293,2022-03-31T00:00:02,43.37913,-124.21737
367715380,2022-03-31T00:00:02,30.04468,-90.64147
998975541,2022-03-31T00:00:04,30.28475,-87.55923
257509000,2022-03-31T00:00:03,29.34507,-94.72315
338028795,2022-03-31T00:00:03,47.30507,-122.51175
368173480,2022-03-31T00:00:08,26.75845,-80.04637
368055920,2022-03-31T00:00:01,29.88687,-90.076
338242367,2022-03-31T00:00:03,47.6217,-122.521
367292000,2022-03-31T00:00:08,28.41558,-80.62201
367350190,2022-03-31T00:00:08,29.7017,-95.01033
338412532,2022-03-31T00:00:11,29.85236,-84.66915
368066770,2022-03-31T00:00:12,28.0885,-80.58643
368067550,2022-03-31T00:00:13,28.9323,-80.71159
338134272,2022-03-31T00:00:15,45.7292,-122.76356
316011504,2022-03-31T00:00:20,49.1843,-122.91768
338401259,2022-03-31T00:00:00,33.75398,-118.11189
368225320,2022-03-31T00:00:02,40.48373,-80.05854
367584520,2022-03-31T00:00:02,29.73039,-95.04175
367317270,2022-03-31T00:00:06,30.08625,-90.91142
368036250,2022-03-31T00:00:06,39.68462,-79.94594
368047580,2022-03-31T00:00:04,29.75887,-95.11675
316022498,2022-03-31T00:00:04,49.29489,-123.13303
366955670,2022-03-31T00:00:10,28.40875,-80.6651
367075020,2022-03-31T00:00:08,28.79353,-95.57118
339241000,2022-03-31T00:00:08,26.09859,-80.16232
367788560,2022-03-31T00:00:23,46.20733,-123.38737
367467120,2022-03-31T00:00:00,33.84184,-118.39218
367654290,2022-03-31T00:00:00,36.99886,-89.16016
367458670,2022-03-31T00:00:01,29.92943,-90.21592
368238310,2022-03-31T00:00:02,45.60857,-122.66492
367603210,2022-03-31T00:00:04,29.99738,-90.01238
367701120,2022-03-31T00:00:05,27.20808,-82.8231
367665130,2022-03-31T00:00:06,36.20816,-89.67264
338360493,2022-03-31T00:00:08,26.243,-80.09526
367442640,2022-03-31T00:00:12,21.08113,-158.24993
368165470,2022-03-31T00:00:13,26.10755,-80.12376
636017992,2022-03-31T00:00:17,29.74895,-95.16637
339757000,2022-03-31T00:00:17,24.56197,-81.80348
338231803,2022-03-31T00:00:24,47.65487,-122.20783
338391872,2022-03-31T00:00:24,27.80814,-97.08729
367001890,2022-03-31T00:00:00,28.41462,-80.61137
368210430,2022-03-31T00:00:03,30.3994,-87.24366
368220260,2022-03-31T00:00:03,48.0622,-123.03836
367337690,2022-03-31T00:00:01,29.74846,-95.29223
367728230,2022-03-31T00:00:00,31.26025,-91.65128
368014310,2022-03-31T00:00:05,27.96089,-82.81527
367109720,2022-03-31T00:00:03,30.07451,-90.89991
367717120,2022-03-31T00:00:08,27.92824,-82.4271
367736640,2022-03-31T00:00:09,30.10242,-93.31363
368417000,2022-03-31T00:00:18,18.36203,-64.74676
366984390,2022-03-31T00:00:00,36.34717,-89.60338
367350170,2022-03-31T00:00:00,30.18263,-93.31192
367556250,2022-03-31T00:00:01,41.4151,-88.2128
367526170,2022-03-31T00:00:02,34.78731,-87.62312
368128670,2022-03-31T00:00:02,47.28037,-122.40047
367145440,2022-03-31T00:00:05,30.28899,-91.21729
367487960,2022-03-31T00:00:05,33.24762,-79.2108
338430922,2022-03-31T00:00:07,26.84628,-80.0701
636014804,2022-03-31T00:00:09,27.46003,-94.68734
367590270,2022-03-31T00:00:09,30.07345,-94.05795
367490030,2022-03-31T00:00:11,24.56459,-81.73443
368013550,2022-03-31T00:00:12,28.1225,-80.62973
367553550,2022-03-31T00:00:12,47.2448,-122.55766
338353769,2022-03-31T00:00:15,47.62929,-122.39124
215154000,2022-03-31T00:00:00,31.61458,-117.93548
366862820,2022-03-31T00:00:00,29.92167,-93.88318
232039370,2022-03-31T00:00:01,30.6713,-81.46613
367683020,2022-03-31T00:00:01,29.51674,-94.89458
368175520,2022-03-31T00:00:01,29.78673,-92.20865
367555330,2022-03-31T00:00:02,38.58375,-90.21146
368166780,2022-03-31T00:00:04,48.51351,-122.60648
367011830,2022-03-31T00:00:04,38.44049,-82.60524
218474000,2022-03-31T00:00:05,32.61133,-79.30505
368061350,2022-03-31T00:00:06,29.37851,-94.77501
366986670,2022-03-31T00:00:06,29.7927,-95.061
367053940,2022-03-31T00:00:07,29.36938,-94.88998
368012890,2022-03-31T00:00:07,35.51564,-89.94675
255806034,2022-03-31T00:00:08,32.36444,-79.4259
368165310,2022-03-31T00:00:12,47.63256,-122.3393
367666530,2022-03-31T00:00:03,34.73282,-87.81422
367532910,2022-03-31T00:00:05,30.0491,-90.53832
339217000,2022-03-31T00:00:06,26.7788,-80.05081
367636270,2022-03-31T00:00:06,48.45624,-122.51171
368014720,2022-03-31T00:00:07,29.74319,-93.86968
338411069,2022-03-31T00:00:07,18.33702,-64.92249
368083770,2022-03-31T00:00:08,46.10791,-122.95902
369361000,2022-03-31T00:00:10,25.08702,-80.45542
368099770,2022-03-31T00:00:12,29.13977,-89.61082
367320010,2022-03-31T00:00:18,43.34469,-124.32082
338394264,2022-03-31T00:00:21,47.62792,-122.38792
367387860,2022-03-31T00:00:01,29.95156,-90.38675
338199855,2022-03-31T00:00:02,21.32872,-158.12072
367535290,2022-03-31T00:00:02,30.76794,-91.59089
366987010,2022-03-31T00:00:03,41.3203,-88.87956
367004950,2022-03-31T00:00:07,30.7189,-88.04206
316019447,2022-03-31T00:00:08,49.11962,-123.1681
338369775,2022-03-31T00:00:11,30.38826,-86.32849
367393180,2022-03-31T00:00:18,45.69757,-122.86923
367467120,2022-03-31T00:00:00,33.84185,-118.3922
338168478,2022-03-31T00:00:00,47.39217,-122.46344
367648150,2022-03-31T00:00:00,25.84914,-95.34582
367389230,2022-03-31T00:00:01,48.51927,-122.62367
338094329,2022-03-31T00:00:03,47.33132,-122.57933
338301547,2022-03-31T00:00:26,33.86461,-78.63861
339254000,2022-03-31T00:00:33,26.09812,-80.16552
367610590,2022-03-31T00:00:34,29.26144,-89.96344
338314251,2022-03-31T00:00:00,48.00262,-122.2187
367449040,2022-03-31T00:00:01,29.67333,-94.21615
338393576,2022-03-31T00:00:12,30.14559,-81.70708
368194070,2022-03-31T00:00:13,47.64286,-122.34195
369080000,2022-03-31T00:00:01,47.59278,-122.34295
368193690,2022-03-31T00:00:07,47.649,-122.32966
366867460,2022-03-31T00:00:07,29.69053,-91.0982
368199730,2022-03-31T00:00:06,26.8804,-80.07276
